Department,Department Name,Division,Gender,Base Salary,2025 Overtime Pay,2025 Longevity Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,174641.65,0,0,M3
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,F,146133.24,0,0,M3
DGS,Department of General Services,DGS 36 Fleet Management Services,F,90149,651.7,2884.02,16
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,207000,0,0,EX2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,94134,0,8843.8,N17
OAG,Office of Agriculture,OAG 78 Agricultural Services,F,112166,0,3588.34,N21
COR,Correction and Rehabilitation,COR 42 MSD Fiscal Services,F,170580.09,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,134086,0,8718.54,N25
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,107323,0,3433.42,20
DGS,Department of General Services,DGS 36 Real Estate Office,F,174641.65,0,0,M3
DOT,Department of Transportation,DOT 50 Transit COS Taxicab Regulation,F,112166,0,8339.57,21
SHF,Sheriff's Office,SHF 48 Administration,F,133946.53,0,0,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,122603,0,0,N23
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,200829,0,0,M2
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,200829,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,122603,0,7971.76,N23
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,134086,0,8718.54,N25
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,98322,0,9618.98,18
IGR,Office of Intergovernmental Relations Department,IGR 20 Office of Intergovernmental Relations,F,112166,7.65,2499.3,N21
DOT,Department of Transportation,DOT 50 Director Management Services,F,122603,0,7971.76,N23
DGS,Department of General Services,DGS 36 Building Design and Construction,F,153585,0,10190.94,28
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,223879.77,0,0,M1
FIN,Department of Finance,FIN 32 Accounts Payable,M,134086,0,4289.54,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,140274,0,0,N26
POL,Department of Police,POL 47 HQ Office of the Chief,M,139532,7163.8,13276.92,A1
DOT,Department of Transportation,DOT 50 Highway Services,F,86352,11279.46,3289.15,15
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,200829,0,0,M2
DEP,Department of Environmental Protection,DEP 80 Waste Reduction and Recycling,F,174641.65,0,0,M3
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,98322,0,9237.38,N18
COR,Correction and Rehabilitation,COR 42 MSD Fiscal Services,F,135931.43,0,8668.08,N26
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,112166,0,11118.46,21
HCA,Department of Housing and Community Affairs,HCA 76 Finance and Administration Division,F,122603,0,7971.76,N23
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,M,217338.65,0,0,M1
DPS,Department of Permitting Services,DPS 75 Customer Support,M,94134,18.14,9330.92,17
PRO,Office of Procurement,PRO 35 Procurement Services Section,M,87523,0,3741.12,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,138111.54,0,0,N26
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,90149,6038.3,8936.04,16
FIN,Department of Finance,FIN 32 General Accounting,F,134086,0,12597.4,N25
FRS,Fire and Rescue Services,FRS 45 Procurement,F,90149,0,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,134086,0,2987.7,N25
DGS,Department of General Services,DGS 36 Real Estate Office,F,98322,0,3145.54,18
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,94134,538.31,2668.44,N17
LIB,Department of Public Libraries,LIB 71 Director's Office,F,90149,0,5861.66,16
POL,Department of Police,POL 47 MSB Budget and Capital Management Division Financial and Grants Management Section,F,90149,22844.56,5861.66,16
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,112166,0,5213.4,21
REC,Department of Recreation,REC 72 Facilities Division,M,112166,561.88,9522.25,21
DPS,Department of Permitting Services,DPS 75 Customer Support,F,102711,0,9205.8,19
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,146770,0,2646,N27
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,117252,0,7623.88,22
FRS,Fire and Rescue Services,FRS 45 Budgets and Grants,F,122603,0,7971.76,23
FRS,Fire and Rescue Services,FRS 45 Property and Supply,M,94134,748.58,3375.87,17
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,136188,0,69.26,N26
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,153585,0,0,N28
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,223879.77,0,0,M1
DPS,Department of Permitting Services,DPS 75 Central Services Unit,F,112166,0,10538.02,N21
HRC,Office of Human Rights,HRC 46 Director's Office,M,90149,6024.16,0,N16
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,90149,0,0,N16
DPS,Department of Permitting Services,DPS 75 Director's Office,M,157238.4,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,184949.3,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,F,134086,0,12423.93,N25
FRS,Fire and Rescue Services,FRS 45 EMS Billing,F,174642,0,0,M3
FIN,Department of Finance,FIN 32 Division of the Treasury,M,200829,0,0,M2
FIN,Department of Finance,FIN 32 Tax Operations,F,90149,0,5861.66,16
FIN,Department of Finance,FIN 32 Operations and Administration - Risk Management,F,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,87523,0,847.5,16
